id,role,display_name,sku_abbrev_no_padding,sku_abbrev_with_padding,ebay_variation_enabled,sort_order,created_at,updated_at
2,PREMIUM SYNTHETIC LEATHER,Premium Synthetic Leather,L,LG,1,0,2026-01-18 04:56:48.224046,2026-01-18 04:56:48.224064
3,CHOICE WATERPROOF FABRIC,Choice Waterproof Fabric,C,CG,1,0,2026-01-18 04:57:16.170372,2026-01-18 04:57:16.170379
