id,original_filename,file_path,upload_date,file_size
1,GAC_Current_c_pbkOnly_pslAll.xlsx,attached_assets/customization_templates\GAC_Current_c_pbkOnly_pslAll.xlsx,2025-12-26 06:32:59.186834,14865
2,MKC_Current_SlipPocket_2025-12-30.xlsx,attached_assets/customization_templates\Customization_2(Template).xlsx,2025-12-31 01:56:18.993392,14922
