id,equipment_type_id,template_id,slot,created_at
1,1,1,1,2025-12-30 06:48:03.523372
2,9,2,1,2025-12-31 01:56:29.020185
3,10,2,1,2026-01-01 07:36:07.920300
4,11,1,1,2026-01-03 06:09:11.537013
5,2,1,1,2026-01-03 19:19:29.589675
6,3,1,1,2026-01-03 19:19:36.205080
7,12,2,1,2026-01-16 23:16:58.464191
